other_id,recipient_name,incumbent,recipient_party,recipient_type,recipient_state,date,amount
C00411579,ACTON PAC,,REP,pac,,1/11/13,5000
C00467571,"ANDY BARR FOR CONGRESS, INC.",TRUE,REP,candidate,KY,1/11/13,5000
C00500207,FRIENDS OF SUSAN BROOKS,TRUE,REP,candidate,IN,1/11/13,5000
C00075820,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,,REP,party,,1/11/13,15000
C00514513,PITTENGER FOR CONGRESS LLC,TRUE,REP,candidate,NC,1/11/13,5000
C00330720,TRUST PAC TEAM REPUBLICANS FOR UTILIZING SENSIBLE TACTICS,,REP,pac,,2/5/13,5000
C00527531,FREE MARKETS PAC INC,,REP,pac,,2/8/13,5000
C00459255,"FRIENDS OF TODD YOUNG, INC.",TRUE,REP,candidate,IN,2/8/13,5000
C00499236,GEORGE HOLDING FOR CONGRESS INC.,TRUE,REP,candidate,NC,2/8/13,5000
C00504522,HUDSON FOR CONGRESS,TRUE,REP,candidate,NC,2/8/13,5000
C00503094,MEADOWS FOR CONGRESS,TRUE,REP,candidate,NC,2/8/13,5000
C00474189,MIKE KELLY FOR CONGRESS,TRUE,REP,candidate,PA,2/8/13,5000
C00468116,RE-ELECT TIM GRIFFIN FOR CONGRESS COMMITTEE,TRUE,REP,candidate,AR,2/8/13,5000
C00495846,ANN WAGNER FOR CONGRESS,TRUE,REP,candidate,MO,2/12/13,5000
C00410118,BACHMANN FOR CONGRESS,TRUE,REP,candidate,MN,2/12/13,5000
C00365593,CANDICE MILLER FOR CONGRESS,TRUE,REP,candidate,MI,2/12/13,5000
C00539825,CAPITO FOR WEST VIRGINIA,TRUE,REP,candidate,WV,2/12/13,5000
C00390476,CATHY MCMORRIS RODGERS FOR CONGRESS,TRUE,REP,candidate,WA,2/12/13,5000
C00502039,COLLINS FOR CONGRESS,TRUE,REP,candidate,GA,2/12/13,5000
C00500207,FRIENDS OF SUSAN BROOKS,TRUE,REP,candidate,IN,2/12/13,5000
C00472704,JAIME FOR CONGRESS,TRUE,REP,candidate,WA,2/12/13,5000
C00476853,KRISTI FOR CONGRESS,TRUE,REP,candidate,SD,2/12/13,5000
C00443580,LUMMIS FOR CONGRESS,TRUE,REP,candidate,WY,2/12/13,5000
C00433730,LYNN JENKINS FOR CONGRESS,TRUE,REP,candidate,KS,2/12/13,5000
C00376939,"MARSHA BLACKBURN FOR CONGRESS, INC.",TRUE,REP,candidate,TN,2/12/13,5000
C00462143,MARTHA ROBY FOR CONGRESS,TRUE,REP,candidate,AL,2/12/13,5000
C00471896,RENEE ELLMERS FOR CONGRESS COMMITTEE,TRUE,REP,candidate,NC,2/12/13,5000
C00280537,ROS-LEHTINEN FOR CONGRESS,TRUE,REP,candidate,FL,2/12/13,5000
C00464602,VICKY HARTZLER FOR CONGRESS,TRUE,REP,candidate,MO,2/12/13,5000
C00468579,WALORSKI FOR CONGRESS INC,TRUE,REP,candidate,IN,2/12/13,5000
